,Category,Class,Country,Unit,Value
829,Number of endangered indigenous species,Amphibians,Switzerland,Number,9.0
830,Number of critically endangered indigenous species,Amphibians,Switzerland,Number,0.0
831,Number of vulnerable indigenous species,Amphibians,Switzerland,Number,4.0
832,Total number of known species,Amphibians,Turkey,Number,141.0
833,Total number of threatened species,Amphibians,Turkey,Number,10.0
834,Total number of known species,Amphibians,United Kingdom,Number,15.0
835,Total number of known species,Amphibians,United States,Number,270.0
836,Total number of indigenous known species,Amphibians,United States,Number,260.0
837,Number of endangered species,Amphibians,United States,Number,36.0
838,Number of critically endangered species,Amphibians,United States,Number,31.0
839,Number of vulnerable species,Amphibians,United States,Number,42.0
840,Total number of threatened species,Amphibians,United States,Number,109.0
841,Number of endangered indigenous species,Amphibians,United States,Number,36.0
842,Number of critically endangered indigenous species,Amphibians,United States,Number,31.0
843,Number of vulnerable indigenous species,Amphibians,United States,Number,42.0
844,Total number of known species,Amphibians,Chile,Number,65.0
845,Total number of indigenous known species,Amphibians,Chile,Number,64.0
846,Number of endangered species,Amphibians,Chile,Number,23.0
847,Number of vulnerable species,Amphibians,Chile,Number,11.0
848,Total number of threatened species,Amphibians,Chile,Number,44.0
849,Number of endangered indigenous species,Amphibians,Chile,Number,23.0
850,Number of vulnerable indigenous species,Amphibians,Chile,Number,11.0
851,Total number of known species,Amphibians,Estonia,Number,11.0
852,Total number of indigenous known species,Amphibians,Estonia,Number,10.0
853,Number of endangered species,Amphibians,Estonia,Number,2.0
854,Number of vulnerable species,Amphibians,Estonia,Number,1.0
855,Total number of threatened species,Amphibians,Estonia,Number,3.0
856,Number of endangered indigenous species,Amphibians,Estonia,Number,2.0
857,Number of vulnerable indigenous species,Amphibians,Estonia,Number,1.0
858,Total number of threatened species,Amphibians,Russia,Number,0.0
859,Total number of known species,Amphibians,Slovenia,Number,21.0
860,Total number of indigenous known species,Amphibians,Slovenia,Number,21.0
861,Number of endangered species,Amphibians,Slovenia,Number,3.0
862,Number of vulnerable species,Amphibians,Slovenia,Number,14.0
863,Total number of threatened species,Amphibians,Slovenia,Number,17.0
864,Number of endangered indigenous species,Amphibians,Slovenia,Number,3.0
865,Number of vulnerable indigenous species,Amphibians,Slovenia,Number,14.0
866,Total number of known species,Vascular plants,Australia,Number,20070.0
867,Total number of indigenous known species,Vascular plants,Australia,Number,17535.0
868,Number of endangered species,Vascular plants,Australia,Number,556.0
869,Number of critically endangered species,Vascular plants,Australia,Number,191.0
870,Number of vulnerable species,Vascular plants,Australia,Number,587.0
871,Total number of threatened species,Vascular plants,Australia,Number,1334.0
872,Total number of known species,Vascular plants,Austria,Number,2950.0
873,Total number of indigenous known species,Vascular plants,Austria,Number,2950.0
874,Number of endangered species,Vascular plants,Austria,Number,348.0
875,Number of critically endangered species,Vascular plants,Austria,Number,172.0
876,Number of vulnerable species,Vascular plants,Austria,Number,465.0
877,Total number of threatened species,Vascular plants,Austria,Number,985.0
878,Number of endangered indigenous species,Vascular plants,Austria,Number,348.0
879,Number of critically endangered indigenous species,Vascular plants,Austria,Number,172.0
880,Number of vulnerable indigenous species,Vascular plants,Austria,Number,465.0
881,Total number of known species,Vascular plants,Belgium,Number,1818.0
882,Total number of indigenous known species,Vascular plants,Belgium,Number,1438.0
883,Number of endangered species,Vascular plants,Belgium,Number,107.0
884,Number of critically endangered species,Vascular plants,Belgium,Number,253.0
885,Number of vulnerable species,Vascular plants,Belgium,Number,63.0
886,Total number of threatened species,Vascular plants,Belgium,Number,423.0
887,Number of endangered indigenous species,Vascular plants,Belgium,Number,107.0
888,Number of critically endangered indigenous species,Vascular plants,Belgium,Number,253.0
889,Number of vulnerable indigenous species,Vascular plants,Belgium,Number,63.0
890,Total number of known species,Vascular plants,Canada,Number,5185.0
891,Total number of indigenous known species,Vascular plants,Canada,Number,3870.0
892,Number of endangered species,Vascular plants,Canada,Number,325.0
893,Number of vulnerable species,Vascular plants,Canada,Number,467.0
894,Total number of threatened species,Vascular plants,Canada,Number,1107.0
895,Number of endangered indigenous species,Vascular plants,Canada,Number,325.0
896,Number of vulnerable indigenous species,Vascular plants,Canada,Number,467.0
897,Total number of known species,Vascular plants,Czech Republic,Number,2250.0
898,Total number of indigenous known species,Vascular plants,Czech Republic,Number,2250.0
899,Number of endangered species,Vascular plants,Czech Republic,Number,361.0
900,Number of critically endangered species,Vascular plants,Czech Republic,Number,487.0
901,Number of vulnerable species,Vascular plants,Czech Republic,Number,357.0
902,Total number of threatened species,Vascular plants,Czech Republic,Number,1205.0
903,Total number of known species,Vascular plants,Denmark,Number,2909.0
904,Total number of indigenous known species,Vascular plants,Denmark,Number,1200.0
905,Number of endangered species,Vascular plants,Denmark,Number,36.0
906,Number of critically endangered species,Vascular plants,Denmark,Number,24.0
907,Number of vulnerable species,Vascular plants,Denmark,Number,57.0
908,Total number of threatened species,Vascular plants,Denmark,Number,117.0
909,Number of endangered indigenous species,Vascular plants,Denmark,Number,36.0
910,Number of critically endangered indigenous species,Vascular plants,Denmark,Number,24.0
911,Number of vulnerable indigenous species,Vascular plants,Denmark,Number,57.0
912,Total number of known species,Vascular plants,Finland,Number,1240.0
913,Total number of indigenous known species,Vascular plants,Finland,Number,920.0
914,Number of endangered species,Vascular plants,Finland,Number,88.0
915,Number of critically endangered species,Vascular plants,Finland,Number,31.0
916,Number of vulnerable species,Vascular plants,Finland,Number,78.0
917,Total number of threatened species,Vascular plants,Finland,Number,197.0
918,Number of endangered indigenous species,Vascular plants,Finland,Number,88.0
919,Number of critically endangered indigenous species,Vascular plants,Finland,Number,31.0
920,Number of vulnerable indigenous species,Vascular plants,Finland,Number,78.0
921,Total number of known species,Vascular plants,France,Number,4982.0
922,Number of endangered species,Vascular plants,France,Number,132.0
923,Number of vulnerable species,Vascular plants,France,Number,238.0
924,Total number of threatened species,Vascular plants,France,Number,421.0
925,Total number of known species,Vascular plants,Germany,Number,3272.0
926,Total number of indigenous known species,Vascular plants,Germany,Number,2954.0
927,Number of endangered species,Vascular plants,Germany,Number,273.0
928,Number of critically endangered species,Vascular plants,Germany,Number,118.0
929,Number of vulnerable species,Vascular plants,Germany,Number,505.0
930,Total number of threatened species,Vascular plants,Germany,Number,896.0
931,Number of endangered indigenous species,Vascular plants,Germany,Number,273.0
932,Number of critically endangered indigenous species,Vascular plants,Germany,Number,118.0
933,Number of vulnerable indigenous species,Vascular plants,Germany,Number,505.0
934,Total number of known species,Vascular plants,Greece,Number,5850.0
935,Total number of indigenous known species,Vascular plants,Greece,Number,5700.0
936,Number of endangered species,Vascular plants,Greece,Number,64.0
937,Number of critically endangered species,Vascular plants,Greece,Number,17.0
938,Number of vulnerable species,Vascular plants,Greece,Number,174.0
939,Total number of threatened species,Vascular plants,Greece,Number,255.0
940,Total number of known species,Vascular plants,Hungary,Number,2721.0
941,Total number of indigenous known species,Vascular plants,Hungary,Number,2433.0
942,Number of endangered species,Vascular plants,Hungary,Number,162.0
943,Number of vulnerable species,Vascular plants,Hungary,Number,105.0
944,Total number of threatened species,Vascular plants,Hungary,Number,382.0
945,Number of endangered indigenous species,Vascular plants,Hungary,Number,162.0
946,Number of vulnerable indigenous species,Vascular plants,Hungary,Number,105.0
947,Total number of known species,Vascular plants,Iceland,Number,438.0
948,Total number of threatened species,Vascular plants,Iceland,Number,52.0
949,Total number of known species,Vascular plants,Ireland,Number,1050.0
950,Total number of indigenous known species,Vascular plants,Ireland,Number,1050.0
951,Number of endangered species,Vascular plants,Ireland,Number,25.0
952,Number of critically endangered species,Vascular plants,Ireland,Number,20.0
953,Number of vulnerable species,Vascular plants,Ireland,Number,56.0
954,Total number of threatened species,Vascular plants,Ireland,Number,101.0
955,Number of endangered indigenous species,Vascular plants,Ireland,Number,25.0
956,Number of critically endangered indigenous species,Vascular plants,Ireland,Number,20.0
957,Number of vulnerable indigenous species,Vascular plants,Ireland,Number,56.0
958,Total number of known species,Vascular plants,Italy,Number,8195.0
959,Number of endangered species,Vascular plants,Italy,Number,149.0
960,Number of critically endangered species,Vascular plants,Italy,Number,128.0
961,Number of vulnerable species,Vascular plants,Italy,Number,276.0
962,Total number of threatened species,Vascular plants,Italy,Number,553.0
963,Total number of known species,Vascular plants,Japan,Number,7000.0
964,Number of endangered species,Vascular plants,Japan,Number,520.0
965,Number of critically endangered species,Vascular plants,Japan,Number,525.0
966,Number of vulnerable species,Vascular plants,Japan,Number,741.0
967,Total number of threatened species,Vascular plants,Japan,Number,1786.0
968,Total number of known species,Vascular plants,Korea,Number,4518.0
969,Number of endangered species,Vascular plants,Korea,Number,86.0
970,Number of critically endangered species,Vascular plants,Korea,Number,28.0
971,Number of vulnerable species,Vascular plants,Korea,Number,110.0
972,Total number of threatened species,Vascular plants,Korea,Number,224.0
973,Total number of known species,Vascular plants,Luxembourg,Number,1323.0
974,Total number of indigenous known species,Vascular plants,Luxembourg,Number,1205.0
975,Number of endangered species,Vascular plants,Luxembourg,Number,124.0
976,Number of critically endangered species,Vascular plants,Luxembourg,Number,121.0
977,Number of vulnerable species,Vascular plants,Luxembourg,Number,109.0
978,Total number of threatened species,Vascular plants,Luxembourg,Number,354.0
979,Number of endangered indigenous species,Vascular plants,Luxembourg,Number,124.0
980,Number of critically endangered indigenous species,Vascular plants,Luxembourg,Number,121.0
981,Number of vulnerable indigenous species,Vascular plants,Luxembourg,Number,109.0
982,Total number of known species,Vascular plants,Mexico,Number,23296.0
983,Total number of indigenous known species,Vascular plants,Mexico,Number,11974.0
984,Number of endangered species,Vascular plants,Mexico,Number,175.0
985,Number of critically endangered species,Vascular plants,Mexico,Number,6.0
986,Number of vulnerable species,Vascular plants,Mexico,Number,329.0
987,Total number of threatened species,Vascular plants,Mexico,Number,510.0
988,Number of endangered indigenous species,Vascular plants,Mexico,Number,105.0
989,Number of critically endangered indigenous species,Vascular plants,Mexico,Number,5.0
990,Number of vulnerable indigenous species,Vascular plants,Mexico,Number,165.0
991,Total number of known species,Vascular plants,Netherlands,Number,1395.0
992,Number of endangered species,Vascular plants,Netherlands,Number,117.0
993,Number of critically endangered species,Vascular plants,Netherlands,Number,71.0
994,Number of vulnerable species,Vascular plants,Netherlands,Number,168.0
995,Total number of threatened species,Vascular plants,Netherlands,Number,356.0
996,Total number of known species,Vascular plants,New Zealand,Number,5038.0
997,Total number of indigenous known species,Vascular plants,New Zealand,Number,2485.0
998,Number of endangered indigenous species,Vascular plants,New Zealand,Number,64.0
999,Number of critically endangered indigenous species,Vascular plants,New Zealand,Number,163.0
1000,Number of vulnerable indigenous species,Vascular plants,New Zealand,Number,101.0
1001,Total number of known species,Vascular plants,Norway,Number,3243.0
1002,Total number of indigenous known species,Vascular plants,Norway,Number,1357.0
1003,Number of endangered species,Vascular plants,Norway,Number,100.0
1004,Number of critically endangered species,Vascular plants,Norway,Number,35.0
1005,Number of vulnerable species,Vascular plants,Norway,Number,111.0
1006,Total number of threatened species,Vascular plants,Norway,Number,246.0
1007,Number of endangered indigenous species,Vascular plants,Norway,Number,100.0
1008,Number of critically endangered indigenous species,Vascular plants,Norway,Number,35.0
1009,Number of vulnerable indigenous species,Vascular plants,Norway,Number,111.0
1010,Total number of known species,Vascular plants,Poland,Number,3087.0
1011,Total number of indigenous known species,Vascular plants,Poland,Number,2534.0
1012,Number of endangered species,Vascular plants,Poland,Number,139.0
1013,Number of critically endangered species,Vascular plants,Poland,Number,123.0
1014,Number of vulnerable species,Vascular plants,Poland,Number,226.0
1015,Total number of threatened species,Vascular plants,Poland,Number,488.0
1016,Number of endangered indigenous species,Vascular plants,Poland,Number,123.0
1017,Number of critically endangered indigenous species,Vascular plants,Poland,Number,110.0
1018,Number of vulnerable indigenous species,Vascular plants,Poland,Number,195.0
1019,Total number of known species,Vascular plants,Portugal,Number,3607.0
1020,Total number of indigenous known species,Vascular plants,Portugal,Number,2927.0
1021,Total number of known species,Vascular plants,Slovak Republic,Number,3619.0
1022,Number of endangered species,Vascular plants,Slovak Republic,Number,171.0
1023,Number of critically endangered species,Vascular plants,Slovak Republic,Number,155.0
1024,Number of vulnerable species,Vascular plants,Slovak Republic,Number,201.0
1025,Total number of threatened species,Vascular plants,Slovak Republic,Number,527.0
1026,Total number of known species,Vascular plants,Spain,Number,7124.0
1027,Number of endangered species,Vascular plants,Spain,Number,204.0
1028,Number of critically endangered species,Vascular plants,Spain,Number,239.0
1029,Number of vulnerable species,Vascular plants,Spain,Number,414.0
1030,Total number of threatened species,Vascular plants,Spain,Number,857.0
1031,Number of endangered indigenous species,Vascular plants,Spain,Number,204.0
1032,Number of critically endangered indigenous species,Vascular plants,Spain,Number,239.0
1033,Number of vulnerable indigenous species,Vascular plants,Spain,Number,414.0
1034,Total number of known species,Vascular plants,Sweden,Number,1561.0
1035,Total number of indigenous known species,Vascular plants,Sweden,Number,1561.0
1036,Number of endangered species,Vascular plants,Sweden,Number,114.0
1037,Number of critically endangered species,Vascular plants,Sweden,Number,43.0
1038,Number of vulnerable species,Vascular plants,Sweden,Number,113.0
1039,Total number of threatened species,Vascular plants,Sweden,Number,270.0
1040,Total number of known species,Vascular plants,Switzerland,Number,2613.0
1041,Total number of indigenous known species,Vascular plants,Switzerland,Number,2613.0
1042,Number of endangered species,Vascular plants,Switzerland,Number,197.0
1043,Number of critically endangered species,Vascular plants,Switzerland,Number,111.0
1044,Number of vulnerable species,Vascular plants,Switzerland,Number,362.0
1045,Total number of threatened species,Vascular plants,Switzerland,Number,670.0
1046,Number of endangered indigenous species,Vascular plants,Switzerland,Number,197.0
1047,Number of critically endangered indigenous species,Vascular plants,Switzerland,Number,111.0
1048,Number of vulnerable indigenous species,Vascular plants,Switzerland,Number,362.0
1049,Total number of known species,Vascular plants,Turkey,Number,11707.0
1050,Total number of threatened species,Vascular plants,Turkey,Number,1282.0
1051,Total number of known species,Vascular plants,United Kingdom,Number,4562.0
1052,Number of endangered species,Vascular plants,United Kingdom,Number,240.0
1053,Number of critically endangered species,Vascular plants,United Kingdom,Number,104.0
1054,Number of vulnerable species,Vascular plants,United Kingdom,Number,482.0
1055,Total number of threatened species,Vascular plants,United Kingdom,Number,826.0
1056,Number of endangered indigenous species,Vascular plants,United Kingdom,Number,240.0
1057,Number of critically endangered indigenous species,Vascular plants,United Kingdom,Number,104.0
1058,Number of vulnerable indigenous species,Vascular plants,United Kingdom,Number,482.0
1059,Total number of known species,Vascular plants,United States,Number,19569.0
1060,Total number of indigenous known species,Vascular plants,United States,Number,16279.0
1061,Number of endangered species,Vascular plants,United States,Number,1462.0
1062,Number of critically endangered species,Vascular plants,United States,Number,1222.0
1063,Number of vulnerable species,Vascular plants,United States,Number,2691.0
1064,Total number of threatened species,Vascular plants,United States,Number,5375.0
1065,Number of endangered indigenous species,Vascular plants,United States,Number,1461.0
1066,Number of critically endangered indigenous species,Vascular plants,United States,Number,1221.0
1067,Number of vulnerable indigenous species,Vascular plants,United States,Number,2684.0
1068,Total number of known species,Vascular plants,Chile,Number,7869.0
1069,Number of endangered species,Vascular plants,Chile,Number,199.0
1070,Number of vulnerable species,Vascular plants,Chile,Number,153.0
1071,Total number of threatened species,Vascular plants,Chile,Number,426.0
1072,Number of endangered indigenous species,Vascular plants,Chile,Number,199.0
1073,Number of vulnerable indigenous species,Vascular plants,Chile,Number,153.0
1074,Total number of known species,Vascular plants,Estonia,Number,2013.0
1075,Total number of indigenous known species,Vascular plants,Estonia,Number,1308.0
1076,Number of endangered species,Vascular plants,Estonia,Number,67.0
1077,Number of critically endangered species,Vascular plants,Estonia,Number,35.0
1078,Number of vulnerable species,Vascular plants,Estonia,Number,102.0
1079,Total number of threatened species,Vascular plants,Estonia,Number,204.0
1080,Number of endangered indigenous species,Vascular plants,Estonia,Number,67.0
1081,Number of critically endangered indigenous species,Vascular plants,Estonia,Number,35.0
1082,Number of vulnerable indigenous species,Vascular plants,Estonia,Number,102.0
1083,Total number of indigenous known species,Vascular plants,Israel,Number,2288.0
1084,Number of endangered indigenous species,Vascular plants,Israel,Number,117.0
1085,Number of critically endangered indigenous species,Vascular plants,Israel,Number,62.0
1086,Number of vulnerable indigenous species,Vascular plants,Israel,Number,198.0
1087,Total number of threatened species,Vascular plants,Russia,Number,63.0
1088,Total number of known species,Vascular plants,Slovenia,Number,3452.0
1089,Total number of indigenous known species,Vascular plants,Slovenia,Number,3119.0
1090,Number of endangered species,Vascular plants,Slovenia,Number,80.0
1091,Number of vulnerable species,Vascular plants,Slovenia,Number,254.0
1092,Total number of threatened species,Vascular plants,Slovenia,Number,334.0
1093,Number of endangered indigenous species,Vascular plants,Slovenia,Number,80.0
1094,Number of vulnerable indigenous species,Vascular plants,Slovenia,Number,254.0
1095,Total number of known species,Fish,Australia,Number,5292.0
1096,Total number of indigenous known species,Fish,Australia,Number,5244.0
1097,Number of endangered species,Fish,Australia,Number,19.0
1098,Number of endangered species,Marine Fish,Australia,Number,2.0
1099,Number of endangered species,Freshwater Fish,Australia,Number,17.0
1100,Number of critically endangered species,Fish,Australia,Number,7.0
1101,Number of critically endangered species,Marine Fish,Australia,Number,4.0
1102,Number of critically endangered species,Freshwater Fish,Australia,Number,3.0
1103,Number of vulnerable species,Fish,Australia,Number,24.0
1104,Number of vulnerable species,Marine Fish,Australia,Number,8.0
1105,Number of vulnerable species,Freshwater Fish,Australia,Number,16.0
1106,Total number of threatened species,Fish,Australia,Number,50.0
1107,Total number of threatened species,Marine Fish,Australia,Number,14.0
1108,Total number of threatened species,Freshwater Fish,Australia,Number,36.0
1109,Threatened species as % of known species,Mammals,Australia,Percentage,28.61
1110,Threatened species as % of known species,Birds,Australia,Percentage,17.092
1111,Threatened species as % of known species,Reptiles,Australia,Percentage,5.821000000000001
1112,Threatened species as % of known species,Amphibians,Australia,Percentage,15.612
1113,Threatened species as % of known species,Vascular plants,Australia,Percentage,6.647
1114,Threatened species as % of known species,Fish,Australia,Percentage,0.945
1115,Total number of known species,Fish,Austria,Number,84.0
1116,Total number of known species,Freshwater Fish,Austria,Number,84.0
1117,Total number of indigenous known species,Fish,Austria,Number,84.0
1118,Total number of indigenous known species,Freshwater Fish,Austria,Number,84.0
1119,Number of endangered species,Fish,Austria,Number,18.0
1120,Number of endangered species,Freshwater Fish,Austria,Number,18.0
1121,Number of critically endangered species,Fish,Austria,Number,6.0
1122,Number of critically endangered species,Freshwater Fish,Austria,Number,6.0
1123,Number of vulnerable species,Fish,Austria,Number,15.0
1124,Number of vulnerable species,Freshwater Fish,Austria,Number,15.0
1125,Total number of threatened species,Fish,Austria,Number,39.0
1126,Total number of threatened species,Freshwater Fish,Austria,Number,39.0
1127,Number of endangered indigenous species,Fish,Austria,Number,18.0
1128,Number of endangered indigenous species,Freshwater Fish,Austria,Number,18.0
1129,Number of critically endangered indigenous species,Fish,Austria,Number,6.0
1130,Number of critically endangered indigenous species,Freshwater Fish,Austria,Number,6.0
1131,Number of vulnerable indigenous species,Fish,Austria,Number,15.0
1132,Number of vulnerable indigenous species,Freshwater Fish,Austria,Number,15.0
1133,Total number of indigenous threatened species,Mammals,Austria,Number,27.0
1134,Total number of indigenous threatened species,Birds,Austria,Number,66.0
1135,Total number of indigenous threatened species,Reptiles,Austria,Number,9.0
1136,Total number of indigenous threatened species,Amphibians,Austria,Number,12.0
1137,Total number of indigenous threatened species,Vascular plants,Austria,Number,985.0
1138,Total number of indigenous threatened species,Fish,Austria,Number,39.0
1139,Total number of indigenous threatened species,Freshwater Fish,Austria,Number,39.0
1140,Threatened species as % of known species,Mammals,Austria,Percentage,26.733
1141,Threatened species as % of known species,Birds,Austria,Percentage,30.986
1142,Threatened species as % of known species,Reptiles,Austria,Percentage,64.286
1143,Threatened species as % of known species,Amphibians,Austria,Percentage,60.0
1144,Threatened species as % of known species,Vascular plants,Austria,Percentage,33.39
1145,Threatened species as % of known species,Fish,Austria,Percentage,46.428999999999995
1146,Threatened species as % of known species,Freshwater Fish,Austria,Percentage,46.428999999999995
1147,Threatened indigenous species as % of indigenous spec.,Mammals,Austria,Percentage,26.733
1148,Threatened indigenous species as % of indigenous spec.,Birds,Austria,Percentage,30.986
1149,Threatened indigenous species as % of indigenous spec.,Reptiles,Austria,Percentage,64.286
1150,Threatened indigenous species as % of indigenous spec.,Amphibians,Austria,Percentage,60.0
1151,Threatened indigenous species as % of indigenous spec.,Vascular plants,Austria,Percentage,33.39
1152,Threatened indigenous species as % of indigenous spec.,Fish,Austria,Percentage,46.428999999999995
1153,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Austria,Percentage,46.428999999999995
1154,Total number of known species,Fish,Belgium,Number,142.0
1155,Total number of known species,Marine Fish,Belgium,Number,99.0
1156,Total number of known species,Freshwater Fish,Belgium,Number,43.0
1157,Total number of indigenous known species,Fish,Belgium,Number,123.0
1158,Total number of indigenous known species,Marine Fish,Belgium,Number,99.0
1159,Total number of indigenous known species,Freshwater Fish,Belgium,Number,24.0
1160,Number of endangered species,Fish,Belgium,Number,4.0
1161,Number of endangered species,Marine Fish,Belgium,Number,3.0
1162,Number of endangered species,Freshwater Fish,Belgium,Number,1.0
1163,Number of critically endangered species,Fish,Belgium,Number,3.0
1164,Number of critically endangered species,Marine Fish,Belgium,Number,2.0
1165,Number of critically endangered species,Freshwater Fish,Belgium,Number,1.0
1166,Number of vulnerable species,Fish,Belgium,Number,22.0
1167,Number of vulnerable species,Marine Fish,Belgium,Number,9.0
1168,Number of vulnerable species,Freshwater Fish,Belgium,Number,13.0
1169,Total number of threatened species,Fish,Belgium,Number,29.0
1170,Total number of threatened species,Marine Fish,Belgium,Number,14.0
1171,Total number of threatened species,Freshwater Fish,Belgium,Number,15.0
1172,Number of endangered indigenous species,Fish,Belgium,Number,4.0
1173,Number of endangered indigenous species,Marine Fish,Belgium,Number,3.0
1174,Number of endangered indigenous species,Freshwater Fish,Belgium,Number,1.0
1175,Number of critically endangered indigenous species,Fish,Belgium,Number,3.0
1176,Number of critically endangered indigenous species,Marine Fish,Belgium,Number,2.0
1177,Number of critically endangered indigenous species,Freshwater Fish,Belgium,Number,1.0
1178,Number of vulnerable indigenous species,Fish,Belgium,Number,22.0
1179,Number of vulnerable indigenous species,Marine Fish,Belgium,Number,9.0
1180,Number of vulnerable indigenous species,Freshwater Fish,Belgium,Number,13.0
1181,Total number of indigenous threatened species,Mammals,Belgium,Number,18.0
1182,Total number of indigenous threatened species,Birds,Belgium,Number,55.0
1183,Total number of indigenous threatened species,Reptiles,Belgium,Number,4.0
1184,Total number of indigenous threatened species,Amphibians,Belgium,Number,6.0
1185,Total number of indigenous threatened species,Vascular plants,Belgium,Number,423.0
1186,Total number of indigenous threatened species,Fish,Belgium,Number,29.0
1187,Total number of indigenous threatened species,Marine Fish,Belgium,Number,14.0
1188,Total number of indigenous threatened species,Freshwater Fish,Belgium,Number,15.0
1189,Threatened species as % of known species,Mammals,Belgium,Percentage,21.429000000000002
1190,Threatened species as % of known species,Birds,Belgium,Percentage,27.778000000000002
1191,Threatened species as % of known species,Reptiles,Belgium,Percentage,40.0
1192,Threatened species as % of known species,Amphibians,Belgium,Percentage,31.579
1193,Threatened species as % of known species,Vascular plants,Belgium,Percentage,23.267
1194,Threatened species as % of known species,Fish,Belgium,Percentage,20.423
1195,Threatened species as % of known species,Marine Fish,Belgium,Percentage,14.140999999999998
1196,Threatened species as % of known species,Freshwater Fish,Belgium,Percentage,34.884
1197,Threatened indigenous species as % of indigenous spec.,Mammals,Belgium,Percentage,27.691999999999997
1198,Threatened indigenous species as % of indigenous spec.,Birds,Belgium,Percentage,30.899
1199,Threatened indigenous species as % of indigenous spec.,Reptiles,Belgium,Percentage,57.143
1200,Threatened indigenous species as % of indigenous spec.,Amphibians,Belgium,Percentage,37.5
1201,Threatened indigenous species as % of indigenous spec.,Vascular plants,Belgium,Percentage,29.416
1202,Threatened indigenous species as % of indigenous spec.,Fish,Belgium,Percentage,23.576999999999998
1203,Threatened indigenous species as % of indigenous spec.,Marine Fish,Belgium,Percentage,14.140999999999998
1204,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Belgium,Percentage,62.5
1205,Total number of known species,Fish,Canada,Number,1376.0
1206,Total number of known species,Marine Fish,Canada,Number,1211.0
1207,Total number of known species,Freshwater Fish,Canada,Number,165.0
1208,Total number of indigenous known species,Fish,Canada,Number,1361.0
1209,Total number of indigenous known species,Marine Fish,Canada,Number,1211.0
1210,Total number of indigenous known species,Freshwater Fish,Canada,Number,150.0
1211,Number of endangered species,Fish,Canada,Number,25.0
1212,Number of endangered species,Marine Fish,Canada,Number,11.0
1213,Number of endangered species,Freshwater Fish,Canada,Number,14.0
1214,Number of critically endangered species,Mammals,Canada,Number,11.0
1215,Number of critically endangered species,Birds,Canada,Number,26.0
1216,Number of critically endangered species,Reptiles,Canada,Number,5.0
1217,Number of critically endangered species,Amphibians,Canada,Number,2.0
1218,Number of critically endangered species,Vascular plants,Canada,Number,315.0
1219,Number of critically endangered species,Fish,Canada,Number,9.0
1220,Number of critically endangered species,Marine Fish,Canada,Number,3.0
1221,Number of critically endangered species,Freshwater Fish,Canada,Number,6.0
1222,Number of vulnerable species,Fish,Canada,Number,54.0
1223,Number of vulnerable species,Marine Fish,Canada,Number,38.0
1224,Number of vulnerable species,Freshwater Fish,Canada,Number,16.0
1225,Total number of threatened species,Fish,Canada,Number,88.0
1226,Total number of threatened species,Marine Fish,Canada,Number,52.0
1227,Total number of threatened species,Freshwater Fish,Canada,Number,36.0
1228,Number of endangered indigenous species,Fish,Canada,Number,25.0
1229,Number of endangered indigenous species,Marine Fish,Canada,Number,11.0
1230,Number of endangered indigenous species,Freshwater Fish,Canada,Number,14.0
1231,Number of critically endangered indigenous species,Mammals,Canada,Number,11.0
1232,Number of critically endangered indigenous species,Birds,Canada,Number,26.0
1233,Number of critically endangered indigenous species,Reptiles,Canada,Number,5.0
1234,Number of critically endangered indigenous species,Amphibians,Canada,Number,2.0
1235,Number of critically endangered indigenous species,Vascular plants,Canada,Number,315.0
1236,Number of critically endangered indigenous species,Fish,Canada,Number,9.0
1237,Number of critically endangered indigenous species,Marine Fish,Canada,Number,3.0
1238,Number of critically endangered indigenous species,Freshwater Fish,Canada,Number,6.0
1239,Number of vulnerable indigenous species,Fish,Canada,Number,54.0
1240,Number of vulnerable indigenous species,Marine Fish,Canada,Number,38.0
1241,Number of vulnerable indigenous species,Freshwater Fish,Canada,Number,16.0
1242,Total number of indigenous threatened species,Mammals,Canada,Number,52.0
1243,Total number of indigenous threatened species,Birds,Canada,Number,88.0
1244,Total number of indigenous threatened species,Reptiles,Canada,Number,26.0
1245,Total number of indigenous threatened species,Amphibians,Canada,Number,16.0
1246,Total number of indigenous threatened species,Vascular plants,Canada,Number,1107.0
1247,Total number of indigenous threatened species,Fish,Canada,Number,88.0
1248,Total number of indigenous threatened species,Marine Fish,Canada,Number,52.0
1249,Total number of indigenous threatened species,Freshwater Fish,Canada,Number,36.0
1250,Threatened species as % of known species,Mammals,Canada,Percentage,23.529
1251,Threatened species as % of known species,Birds,Canada,Percentage,13.056
1252,Threatened species as % of known species,Reptiles,Canada,Percentage,57.778
1253,Threatened species as % of known species,Amphibians,Canada,Percentage,34.043
1254,Threatened species as % of known species,Vascular plants,Canada,Percentage,21.35
1255,Threatened species as % of known species,Fish,Canada,Percentage,6.395
1256,Threatened species as % of known species,Marine Fish,Canada,Percentage,4.294
1257,Threatened species as % of known species,Freshwater Fish,Canada,Percentage,21.818
1258,Threatened indigenous species as % of indigenous spec.,Mammals,Canada,Percentage,24.88
1259,Threatened indigenous species as % of indigenous spec.,Birds,Canada,Percentage,13.253
1260,Threatened indigenous species as % of indigenous spec.,Reptiles,Canada,Percentage,60.465
1261,Threatened indigenous species as % of indigenous spec.,Amphibians,Canada,Percentage,34.043
1262,Threatened indigenous species as % of indigenous spec.,Vascular plants,Canada,Percentage,28.605
